*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SequencialSwitch
*Date=15:23:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;13.2216;-70.8821;0;Bottom;Via21
108;;;19.1854;-12.9683;0;Bottom;Via33
109;47µF;0405 [SMD, electrolytic];9.91967;-20.3142;-90;Top;C2
110;;sod-323;18.3017;-82.1921;90;Top;D2
111;;;12.4544;-31.7643;0;Bottom;Via53
112;47k;0402 [SMD];7.49164;-85.8681;180;Top;R6
113;;3 mm [THT];7.37979;-67.6511;180;Bottom;L2
114;;;7.88243;-48.6553;0;Bottom;Via27
115;;;17.0316;-84.3441;0;Bottom;Via18
116;;;15.0019;-59.9778;180;Bottom;OI2
117;;SO;6.48544;-73.9027;0;Top;IC1
